adsh	cik	name	sic	countryba	stprba	cityba	zipba	bas1	bas2	baph	countryma	stprma	cityma	zipma	mas1	mas2	countryinc	stprinc	ein	former	changed	afs	wksi	fye	form	period	fy	fp	filed	accepted	prevrpt	detail	instance	nciks	aciks
0001193125-10-151896	1341439	ORACLE CORP	7372	US	CA	REDWOOD CITY	94065	500 ORACLE PARKWAY	MAIL STOP 5 OP 7	6505067000	US	CA	REDWOOD CITY	94065	500 ORACLE PARKWAY	MAIL STOP 5 OP 7			542185193	OZARK HOLDING INC.	20051013	1-LAF	1	0531	10-K	20100531	2010	FY	20100701	2010-06-30 21:59:00.0	0	0	orcl-20100531.xml	1	
0001193125-10-152337	815097	CARNIVAL CORP	4400	US	FL	MIAMI	33178-2428	3655 N W 87TH AVE	PO BOX 1347	011 44 20 7940 5381	US	FL	MIAMI	33178	3655 N W 87TH AVE	PO BOX 1347	US	DE	591562976	CARNIVAL CRUISE LINES INC	19920703	1-LAF	0	1130	10-Q	20100531	2010	Q2	20100701	2010-07-01 12:07:00.0	0	0	ccl-20100531.xml	2	1125259
0000796343-10-000011	796343	ADOBE SYSTEMS INC	7372	US	CA	SAN JOSE	95110-2704	345 PARK AVE		4085366000	US	CA	SAN JOSE	95110-2704	345 PARK AVENUE		US	DE	770019522			1-LAF	1	1130	10-Q	20100531	2010	Q2	20100702	2010-07-01 20:03:00.0	0	1	adbe-20100604.xml	1	
0000950123-10-063363	1110783	MONSANTO CO /NEW/	2870	US	MO	ST LOUIS	63167	800 N LINDBERGH BLVD		3146941000	US	MO	ST LOUIS	63167	800 NORTH LINDBERGH BLVD		US	DE	431878297			1-LAF	1	0831	10-Q	20100531	2010	Q3	20100702	2010-07-02 10:43:00.0	0	0	mon-20100531.xml	1	
0000950123-10-063911	1105705	TIME WARNER INC.	7812	US	NY	NEW YORK	10019	ONE TIME WARNER CENTER		2124848000	US	NY	NEW YORK	10019	ONE TIME WARNER CENTER		US	DE	134099534	TIME WARNER INC	20031015	1-LAF	1	1231	8-K	20091231	2009	FY	20100707	2010-07-07 11:38:00.0	0	0	twx-20091231.xml	1	
0001104659-10-037298	886158	BED BATH & BEYOND INC	5700	US	NJ	UNION	07083	650 LIBERTY AVENUE		2013791520	US	NJ	SPRINGFIELD	07081	715 MORRIS AVENUE		US	NY	112250488			1-LAF	0	0228	10-Q	20100531	2010	Q1	20100707	2010-07-07 16:39:00.0	0	0	bbby-20100529.xml	1	
0001193125-10-154420	57083	KYOCERA CORP	3674	JP		KYOTO	612-8501	6, TAKEDA TOBADONO-CHO	FUSHIMI-KU	81-75-604-3500	JP		KYOTO	612-8501	6, TAKEDA TOBADONO-CHO	FUSHIMI-KU			000000000	KYOTO CERAMIC CO LTD	19821208	1-LAF	1	0331	20-F/A	20100331	2009	FY	20100707	2010-07-07 06:31:00.0	0	0	kyo-20100331.xml	1	
0001193125-10-154973	1393612	DISCOVER FINANCIAL SERVICES	6141	US	IL	RIVERWOODS	60015	2500 LAKE COOK ROAD		224-405-0900	US	IL	RIVERWOODS	60015	2500 LAKE COOK ROAD		US	DE	362517428			1-LAF	0	1130	10-Q	20100531	2010	Q2	20100707	2010-07-07 17:11:00.0	0	0	dfs-20100531.xml	1	
0001104659-10-037444	764478	BEST BUY CO INC	5731	US	MN	RICHFIELD	55423	7601 PENN AVE SOUTH		6122911000	US	MN	RICHFIELD	55423	7601 PENN AVE SOUTH		US	MN	410907483	BEST BUYS CO INC	19900809	1-LAF	0	0228	10-Q	20100531	2010	Q1	20100708	2010-07-08 16:08:00.0	0	0	bby-20100529.xml	1	
0000950123-10-064517	40704	GENERAL MILLS INC	2040	US	MN	MINNEAPOLIS	55426	NUMBER ONE GENERAL MILLS BLVD		(763) 764-7600	US	MN	MINNEAPOLIS	55440	P O BOX 1113		US	DE	410274440			1-LAF	1	0531	10-K	20100531	2010	FY	20100709	2010-07-09 11:05:00.0	0	0	gis-20100530.xml	1	
0000277948-10-000046	277948	CSX CORP	4011	US	FL	JACKSONVILLE	32202	500 WATER STREET	15TH FLOOR	9043593200	US	FL	JACKSONVILLE	32202	500 WATER STREET	15TH FLOOR	US	VA	621051971			1-LAF	1	1231	10-Q	20100630	2010	Q2	20100715	2010-07-15 16:05:00.0	0	1	csx-20100625.xml	1	
0000950123-10-065730	1048911	FEDEX CORP	4513	US	TN	MEMPHIS	38120-	942 SOUTH SHADY GROVE ROAD		9018187500	US	TN	MEMPHIS	38120-	942 SOUTH SHADY GROVE ROAD		US	DE	621721435	FDX CORP	19971103	1-LAF	1	0531	10-K	20100531	2010	FY	20100715	2010-07-15 15:33:00.0	0	0	fdx-20100531.xml	1	
0000950123-10-066009	723531	PAYCHEX INC	8700	US	NY	ROCHESTER	14625-0397	911 PANORAMA TRAIL S		7163856666	US	NY	ROCHESTER	14625-0397	911 PANORAMA TRAIL SOUTH		US	DE	161124166			1-LAF	1	0531	10-K	20100531	2010	FY	20100716	2010-07-16 16:17:00.0	0	0	payx-20100531.xml	1	
0001193125-10-160212	1048286	MARRIOTT INTERNATIONAL INC /MD/	7011	US	MD	BETHESDA	20817	10400 FERNWOOD ROAD		3013803000	US	MD	BETHESDA	20817	10400 FERNWOOD ROAD		US	DE	522055918	NEW MARRIOTT MI INC	19971023	1-LAF	0	1231	10-Q	20100630	2010	Q2	20100716	2010-07-16 16:28:00.0	0	1	mar-20100618.xml	1	
0000950123-10-066527	875045	BIOGEN IDEC INC.	2836	US	MA	WESTON	02493	133 BOSTON POST ROAD		7814642000	US	MA	WESTON	02493	133 BOSTON POST ROAD		US	DE	330112644	BIOGEN IDEC INC	20031112	1-LAF	1	1231	10-Q	20100630	2010	Q2	20100720	2010-07-20 16:23:00.0	0	1	biib-20100630.xml	1	
0001041061-10-000035	1041061	YUM BRANDS INC	5812	US	KY	LOUISVILLE	40213	1441 GARDINER LANE		5028748300	US	KY	LOUISVILLE	40213	1900 COLONEL SANDERS LANE		US	NC	133951308	TRICON GLOBAL RESTAURANTS INC	19970627	1-LAF	0	1231	10-Q	20100531	2010	Q2	20100720	2010-07-20 12:17:00.0	0	0	yum-20100612.xml	1	
