"adsh","cik_id","name","sic","countryba","stprba","cityba","zipba","bas1","bas2","baph","countryma","stprma","cityma","zipma","mas1","mas2","countryinc","stprinc","ein_id","former","changed","afs","wksi","fye","form","period","fy","fp","filed","accepted","prevrpt","detail","instance","nciks","aciks","edgar_year"
"0001193125-10-072854",794367,"MACY'S, INC.",5311,"US","OH","CINCINNATI","45202","7 WEST SEVENTH STREET","","5135797000","US","OH","CINCINNATI","45202","7 W SEVENTH ST","","US","DE",133324058,"FEDERATED DEPARTMENT STORES INC /DE/",19950307,"1-LAF",1,131,"10-K",20100131,2009,"FY",20100331,"2010-03-31 12:06:00.0",0,0,"m",1,"","2010Q1"
"0001193125-10-072909",1080224,"EDGAR ONLINE INC",7389,"US","CT","NORWALK","06854","50 WASHINGTON ST","","2038525666","US","CT","NORWALK","06854","50 WASHINGTON ST","","US","DE",61447017,"",NA,"5-SML",0,1231,"10-K",20091231,2009,"FY",20100331,"2010-03-31 12:26:00.0",0,1,"edgr",1,"","2010Q1"
"0001193125-10-073247",1058057,"MARVELL TECHNOLOGY GROUP LTD",3674,"BM","","HAMILTON HM 12","","CANON'S COURT","22 VICTORIA STREET","4412966395","","","","","","","BM","",770481679,"",NA,"1-LAF",1,131,"10-K",20100131,2009,"FY",20100331,"2010-03-31 15:22:00.0",0,0,"mrvl",1,"","2010Q1"
"0000950123-10-029845",109198,"TJX COMPANIES INC /DE/",5651,"US","MA","FRAMINGHAM","01701","770 COCHITUATE RD","","508-390-2662","US","MA","FRAMINGHAM","01701","770 COCHITUATE ROAD","","US","DE",42207613,"ZAYRE CORP",19890625,"1-LAF",1,131,"10-K",20100131,2009,"FY",20100330,"2010-03-30 12:40:00.0",0,0,"tjx",1,"","2010Q1"
"0000950123-10-030079",64978,"MERCK SHARP & DOHME CORP.",2834,"US","NJ","WHITEHOUSE STATION","08889-0100","ONE MERCK DR","P O BOX 100","9084231688","US","NJ","WHITEHOUSE STATION","08889-0100","ONE MERCK DR","PO BOX 100 WS3AB-05","US","NJ",221109110,"MERCK & CO INC",19920703,"4-NON",1,1231,"10-K",20091231,2009,"FY",20100330,"2010-03-30 16:48:00.0",0,0,"mrk",1,"","2010Q1"
"0000950123-10-030164",1326380,"GAMESTOP CORP.",5734,"US","TX","GRAPEVINE","76051","625 WESTPORT PARKWAY","","817-424-2000","US","TX","GRAPEVINE","76051","625 WESTPORT PARKWAY","","US","DE",0,"GSC HOLDINGS CORP.",20050506,"1-LAF",1,131,"10-K",20100131,2009,"FY",20100330,"2010-03-30 17:30:00.0",0,0,"gme",1,"","2010Q1"
"0001104659-10-017258",56873,"KROGER CO",5411,"US","OH","CINCINNATI","45201","1014 VINE ST","","5137624000","","","","","","","US","OH",310345740,"",NA,"1-LAF",1,131,"10-K",20100131,2009,"FY",20100330,"2010-03-30 13:52:00.0",0,0,"kr",1,"","2010Q1"
"0001193125-10-071527",1166126,"J C PENNEY CO INC",5311,"US","TX","PLANO","75024-3698","6501 LEGACY DRIVE","","9722431100","","","","","","","US","DE",260037077,"J C PENNEY HOLDINGS INC",20020128,"1-LAF",1,131,"10-K",20100131,2009,"FY",20100330,"2010-03-30 16:22:00.0",0,0,"jcp",1,"","2010Q1"
"0001193125-10-071652",104169,"WAL MART STORES INC",5331,"US","AR","BENTONVILLE","72716","702 SOUTHWEST 8TH ST","","5012734000","US","AR","BENTONVILLE","72716","702 SOUTHWEST 8TH STREET","","US","DE",710415188,"",NA,"1-LAF",1,131,"10-K",20100131,2009,"FY",20100330,"2010-03-30 17:08:00.0",0,0,"wmt",1,"","2010Q1"
"0000104207-10-000039",104207,"WALGREEN CO",5912,"US","IL","DEERFIELD","60015","200 WILMOT RD","","8479402500","US","IL","DEERFIELD","60015","200 WILMOT RD","","US","IL",361924025,"",NA,"1-LAF",1,831,"10-Q",20100228,2010,"Q2",20100329,"2010-03-29 17:19:00.0",0,0,"wag",1,"","2010Q1"
